Issue,Num1,Num2,Num3,Num4,Num5,Num6,Num7,Pool,ONumberNotes,OBonus,TNumberNotes,TBonus,TotalNotes,Datatime
23111,03,12,15,28,35,02,12,"826,081,056",3,"9,178,567",168,"76,073","294,847,714",2023-09-25
23110,04,09,11,13,17,07,08,"799,033,238",3,"10,000,000",136,"105,043","316,886,671",2023-09-23
